,name,cluster
0,Aaron Gordon,23
1,Aaron Harrison,15
2,Aaron Jackson,20
3,Al Horford,10
4,Al Jefferson,8
5,Al-Farouq Aminu,11
6,Alec Burks,5
7,Alex Len,0
8,Allen Crabbe,12
9,Andre Drummond,18
10,Andre Iguodala,9
11,Andre Ingram,15
12,Andrew Harrison,9
13,Andrew Wiggins,3
14,Anthony Davis,3
15,Anthony Tolliver,12
16,Antonio Blakeney,9
17,Aron Baynes,8
18,Austin Rivers,23
19,Avery Bradley,23
20,Bam Adebayo,0
21,Ben McLemore,16
22,Ben Simmons,18
23,Blake Griffin,7
24,Bobby Portis,10
25,Bogdan Bogdanovic,1
26,Bojan Bogdanovic,1
27,Bradley Beal,7
28,Brandon Ingram,14
29,Brandon Jennings,16
30,Brook Lopez,10
31,Bryn Forbes,16
32,Buddy Hield,1
33,C.J. Williams,16
34,CJ McCollum,4
35,CJ Miles,12
36,Cameron Payne,16
37,Caris LeVert,1
38,Carmelo Anthony,1
39,Chandler Parsons,15
40,Chinanu Onuaku,0
41,Chris Paul,20
42,Clint Capela,6
43,Cory Joseph,5
44,Courtney Lee,11
45,D'Angelo Russell,23
46,D.J. Augustin,22
47,Damian Lillard,4
48,Damion Lee,20
49,Danilo Gallinari,20
50,Danny Green,11
51,Dante Cunningham,10
52,Dante Exum,22
53,Danuel House Jr.,9
54,Dario Saric,1
55,Darius Miller,15
56,Darren Collison,20
57,David Nwaba,0
58,David West,8
59,Davis Bertans,21
60,De'Aaron Fox,14
61,DeAndre Jordan,6
62,DeAndre' Bembry,5
63,DeMar DeRozan,3
64,DeMarcus Cousins,7
65,DeMarre Carroll,11
66,Dejounte Murray,8
67,Delon Wright,22
68,Dennis Schroder,7
69,Dennis Smith Jr.,23
70,Denzel Valentine,12
71,Derrick Favors,8
72,Derrick Rose,24
73,Devin Booker,4
74,Devin Harris,16
75,Dewayne Dedmon,10
76,Dillon Brooks,11
77,Dion Waiters,23
78,Dirk Nowitzki,2
79,Domantas Sabonis,18
80,Donovan Mitchell,4
81,Dorian Finney-Smith,22
82,Doug McDermott,11
83,Dragan Bender,21
84,Draymond Green,22
85,Dwight Buycks,9
86,Dwight Howard,18
87,Dwight Powell,24
88,Dwyane Wade,14
89,Dzanan Musa,19
90,E'Twaun Moore,14
91,Elfrid Payton,8
92,Emmanuel Mudiay,9
93,Enes Kanter,6
94,Eric Bledsoe,23
95,Eric Gordon,12
96,Ersan Ilyasova,11
97,Evan Fournier,23
98,Evan Turner,10
99,Frank Kaminsky,10
100,Frank Mason,5
101,Frank Ntilikina,11
102,Fred VanVleet,22
103,Garrett Temple,11
104,Gary Harris,23
105,George Hill,11
106,Gerald Green,12
107,Giannis Antetokounmpo,3
108,Goran Dragic,3
109,Greg Monroe,0
110,Harrison Barnes,3
111,Harry Giles III,13
112,Hassan Whiteside,6
113,Ian Clark,11
114,Isaiah Canaan,22
115,Isaiah Taylor,9
116,Isaiah Thomas,23
117,Isaiah Whitehead,24
118,Ish Smith,14
119,J.J. Barea,11
120,JJ Redick,20
121,JR Smith,12
122,JaMychal Green,14
123,Jabari Parker,14
124,Jae Crowder,9
125,Jahlil Okafor,6
126,Jalen Jones,5
127,Jamal Crawford,11
128,Jamal Murray,20
129,Jamel Artis,5
130,James Ennis III,5
131,James Harden,4
132,James Johnson,10
133,Jamil Wilson,15
134,Jarell Martin,24
135,Jarrett Allen,0
136,Jarrett Jack,9
137,Jawun Evans,9
138,Jaylen Brown,1
139,Jaylen Morris,19
140,Jayson Tatum,1
141,Jeff Green,10
142,Jeff Teague,1
143,Jerami Grant,24
144,Jeremy Lamb,1
145,Jeremy Lin,13
146,Jerian Grant,11
147,Jerryd Bayless,16
148,Jimmy Butler,3
149,Jodie Meeks,16
150,Joe Harris,16
151,Joe Ingles,16
152,Joe Johnson,10
153,Joel Embiid,3
154,John Collins,8
155,John Henson,8
156,John Wall,7
157,Johnathan Motley,8
158,Jonas Valanciunas,18
159,Jonathan Gibson,2
160,Jonathan Isaac,5
161,Jonathon Simmons,14
162,Jordan Clarkson,1
163,Jordan Crawford,16
164,Josh Gray,9
165,Josh Hart,16
166,Josh Jackson,14
167,Josh Richardson,1
168,Jrue Holiday,7
169,Julius Randle,18
170,Justin Anderson,9
171,Justin Holiday,12
172,Justin Jackson,5
173,Justin James,7
174,Justise Winslow,10
175,Jusuf Nurkic,18
176,Karl-Anthony Towns,3
177,Kawhi Leonard,1
178,Kelly Olynyk,11
179,Kelly Oubre Jr.,11
180,Kemba Walker,4
181,Kenneth Faried,0
182,Kent Bazemore,20
183,Kentavious Caldwell-Pope,11
184,Kevin Durant,4
185,Kevin Love,1
186,Khris Middleton,3
187,Klay Thompson,1
188,Kobi Simmons,9
189,Kosta Koufos,6
190,Kris Dunn,14
191,Kristaps Porzingis,3
192,Kyle Anderson,8
193,Kyle Korver,15
194,Kyle Kuzma,23
195,Kyle Lowry,12
196,Kyle O'Quinn,8
197,Kyrie Irving,4
198,LaMarcus Aldridge,3
199,Lance Stephenson,11
200,Langston Galloway,15
201,Larry Nance Jr.,8
202,Lauri Markkanen,1
203,LeBron James,7
204,Lonzo Ball,20
205,Lou Williams,4
206,Luc Mbah a Moute,9
207,Luke Kennard,11
208,Luke Kornet,21
209,Malcolm Brogdon,1
210,Malcolm Delaney,16
211,Malik Monk,12
212,Manu Ginobili,22
213,MarShon Brooks,7
214,Marc Gasol,3
215,Marcin Gortat,6
216,Marco Belinelli,12
217,Marcus Morris Sr.,1
218,Marcus Smart,1
219,Mario Chalmers,11
220,Mario Hezonja,11
221,Markelle Fultz,6
222,Markieff Morris,10
223,Marquese Chriss,10
224,Marquis Teague,2
225,Marreese Speights,21
226,Marvin Williams,10
227,Mason Plumlee,6
228,Maurice Harkless,9
229,Michael Beasley,18
230,Michael Kidd-Gilchrist,8
231,Mike Conley,23
232,Mike James,11
233,Mike Muscala,11
234,Mike Scott,10
235,Milos Teodosic,12
236,Mirza Teletovic,2
237,Montrezl Harrell,6
238,Myke Henry,16
239,Myles Turner,10
240,Nemanja Bjelica,9
241,Nick Young,12
242,Nicolas Batum,20
243,Nikola Jokic,3
244,Nikola Mirotic,1
245,Nikola Vucevic,3
246,Norman Powell,22
247,Omari Johnson,2
248,Otto Porter Jr.,1
249,P.J. Tucker,21
250,Pascal Siakam,8
251,Patrick Beverley,12
252,Patty Mills,12
253,Pau Gasol,8
254,Paul George,4
255,Paul Millsap,10
256,Quincy Acy,21
257,Quinn Cook,11
258,RJ Hunter,19
259,Rajon Rondo,24
260,Raymond Felton,16
261,Reggie Bullock,11
262,Reggie Jackson,23
263,Richaun Holmes,8
264,Ricky Rubio,20
265,Robert Covington,12
266,Robin Lopez,8
267,Rodney Hood,1
268,Rodney Purvis,12
269,Rondae Hollis-Jefferson,18
270,Rudy Gay,10
271,Rudy Gobert,6
272,Russell Westbrook,7
273,Ryan Anderson,21
274,Sean Kilpatrick,16
275,Serge Ibaka,10
276,Shabazz Napier,16
277,Shaquille Harrison,17
278,Shelvin Mack,22
279,Skal Labissiere,8
280,Spencer Dinwiddie,12
281,Stanley Johnson,11
282,Stephen Curry,4
283,Steven Adams,6
284,T.J. McConnell,13
285,T.J. Warren,3
286,Taj Gibson,18
287,Taurean Prince,1
288,Terrence Ross,16
289,Terry Rozier,12
290,Thabo Sefolosha,5
291,Thaddeus Young,14
292,Theo Pinson,13
293,Tim Hardaway Jr.,23
294,Timothe Luwawu-Cabarrot,15
295,Tobias Harris,3
296,Tomas Satoransky,5
297,Tony Parker,24
298,Tony Snell,21
299,Trevor Ariza,12
300,Trevor Booker,8
301,Trey Burke,1
302,Trey Lyles,10
303,Troy Daniels,15
304,Troy Williams,9
305,Tyler Dorsey,16
306,Tyler Johnson,1
307,Tyler Ulis,5
308,Tyler Zeller,8
309,Tyreke Evans,23
310,Tyrone Wallace,8
311,Victor Oladipo,4
312,Wayne Ellington,15
313,Wayne Selden,11
314,Wesley Johnson,16
315,Wesley Matthews,1
316,Will Barton,23
317,Willie Cauley-Stein,18
318,Wilson Chandler,10
319,Xavier Rathan-Mayes,11
320,Yogi Ferrell,11
321,Zach LaVine,23
322,Zach Randolph,3
