,game,date,player_name,over,over_odds,under,under_odds
0,Detroit Pistons @ Washington Wizards,2020-01-20,Derrick Rose,Over 22.5,-117,Under 22.5,-105
1,Detroit Pistons @ Washington Wizards,2020-01-20,Bruce Brown Jr.,Over 9.5,-105,Under 9.5,-117
2,Detroit Pistons @ Washington Wizards,2020-01-20,Andre Drummond,Over 17.5,-125,Under 17.5,+104
3,Detroit Pistons @ Washington Wizards,2020-01-20,Tony Snell,Over 8.5,+102,Under 8.5,-124
4,Detroit Pistons @ Washington Wizards,2020-01-20,Isaiah Thomas,Over 11.5,+118,Under 11.5,-143
5,Detroit Pistons @ Washington Wizards,2020-01-20,Sekou Doumbouya,Over 11.5,-120,Under 11.5,-103
6,Detroit Pistons @ Washington Wizards,2020-01-20,Bradley Beal,Over 23.5,-134,Under 23.5,+110
7,Detroit Pistons @ Washington Wizards,2020-01-20,Ian Mahinmi,Over 7.5,+108,Under 7.5,-132
8,Toronto Raptors @ Atlanta Hawks,2020-01-20,Kyle Lowry,Over 18.5,-121,Under 18.5,+100
9,Toronto Raptors @ Atlanta Hawks,2020-01-20,Pascal Siakam,Over 19.5,-114,Under 19.5,-107
10,Toronto Raptors @ Atlanta Hawks,2020-01-20,OG Anunoby,Over 10.5,+100,Under 10.5,-121
11,Toronto Raptors @ Atlanta Hawks,2020-01-20,Marc Gasol,Over 7.5,-115,Under 7.5,-106
12,Toronto Raptors @ Atlanta Hawks,2020-01-20,Trae Young,Over 26.5,-117,Under 26.5,-105
13,Toronto Raptors @ Atlanta Hawks,2020-01-20,Kevin Huerter,Over 12.5,-121,Under 12.5,+100
14,Toronto Raptors @ Atlanta Hawks,2020-01-20,De'Andre Hunter,Over 11.5,+102,Under 11.5,-124
15,Toronto Raptors @ Atlanta Hawks,2020-01-20,John Collins,Over 17.5,+100,Under 17.5,-121
16,Philadelphia 76ers @ Brooklyn Nets,2020-01-20,Kyrie Irving,Over 22.5,-110,Under 22.5,-110
17,Philadelphia 76ers @ Brooklyn Nets,2020-01-20,Spencer Dinwiddie,Over 19.5,-110,Under 19.5,-110
18,Philadelphia 76ers @ Brooklyn Nets,2020-01-20,Jarrett Allen,Over 9.5,-121,Under 9.5,+100
19,Philadelphia 76ers @ Brooklyn Nets,2020-01-20,Joe Harris,Over 10.5,-121,Under 10.5,+100
20,Philadelphia 76ers @ Brooklyn Nets,2020-01-20,Taurean Prince,Over 11.5,-110,Under 11.5,-110
21,Philadelphia 76ers @ Brooklyn Nets,2020-01-20,Ben Simmons,Over 17.5,-134,Under 17.5,+110
22,Philadelphia 76ers @ Brooklyn Nets,2020-01-20,Tobias Harris,Over	 21.5,+100,Under 21.5,-121
23,Philadelphia 76ers @ Brooklyn Nets,2020-01-20,Josh Richardson,Over 17.5,-121,Under 17.5,+100
24,Oklahoma City Thunder @ Houston Rockets,2020-01-20,James Harden,Over 33.5,-121,Under 33.5,+100
25,Oklahoma City Thunder @ Houston Rockets,2020-01-20,Russell Westbrook,Over 26.5,-110,Under 26.5,-110
26,Oklahoma City Thunder @ Houston Rockets,2020-01-20,Clint Capela,Over 13.5,-110,Under 13.5,-110
27,Oklahoma City Thunder @ Houston Rockets,2020-01-20,Ben McLemore,Over 10.5,+100,Under 10.5,-121
28,Oklahoma City Thunder @ Houston Rockets,2020-01-20,PJ Tucker,Over 6.5,+100,Under 6.5,-121
29,Oklahoma City Thunder @ Houston Rockets,2020-01-20,Chris Paul,Over 16.5,-110,Under 16.5,-110
30,Oklahoma City Thunder @ Houston Rockets,2020-01-20,Shai Gilgeous-Alexander,Over 20.5,-110,Under 20.5,-110
31,Oklahoma City Thunder @ Houston Rockets,2020-01-20,Steven Adams,Over 10.5,-121,Under 10.5,+100
32,Oklahoma City Thunder @ Houston Rockets,2020-01-20,Danilo Gallinari,Over 19.5,+100,Under 19.5,-121
33,Oklahoma City Thunder @ Houston Rockets,2020-01-20,Eric Gordon,Over 14.5,-110,Under 14.5,-110
34,Chicago Bulls @ Milwaukee Bucks,2020-01-20,Zach LaVine,Over 27.5,-107,Under 27.5,-114
35,Chicago Bulls @ Milwaukee Bucks,2020-01-20,Kris Dunn,Over 8.5,-107,Under 8.5,-114
36,Chicago Bulls @ Milwaukee Bucks,2020-01-20,Lauri Markkanen,Over 16.5,+115,Under 16.5,-139
37,Chicago Bulls @ Milwaukee Bucks,2020-01-20,Tomas Satoransky,Over 10.5,-103,Under 10.5,-120
38,Chicago Bulls @ Milwaukee Bucks,2020-01-20,Giannis Antetokounmpo,Over 30.5,-107,Under 30.5,-114
39,Chicago Bulls @ Milwaukee Bucks,2020-01-20,Khris Middleton,Over 18.5,-114,Under 18.5,-107
