,name,cluster
103,Derrick Rose,2
104,Derrick White,8
105,Derrick Williams,14
106,Devin Booker,6
107,Devin Harris,10
108,Devin Robinson,7
109,Dewayne Dedmon,2
110,Deyonta Davis,0
111,Dillon Brooks,4
112,Dion Waiters,11
113,Dirk Nowitzki,12
114,Domantas Sabonis,1
115,Donovan Mitchell,6
116,Dorian Finney-Smith,10
117,Doug McDermott,2
118,Dragan Bender,13
119,Draymond Green,4
120,Dwayne Bacon,8
121,Dwight Buycks,2
122,Dwight Howard,1
123,Dwight Powell,7
124,Dwyane Wade,3
125,Dzanan Musa,14
126,E'Twaun Moore,3
127,Ed Davis,0
128,Elfrid Payton,1
129,Emeka Okafor,0
130,Emmanuel Mudiay,2
131,Enes Kanter,1
132,Eric Bledsoe,11
133,Eric Gordon,6
134,Ersan Ilyasova,4
135,Evan Fournier,11
136,Evan Turner,2
137,Frank Kaminsky,4
138,Frank Mason,2
139,Frank Ntilikina,10
140,Fred VanVleet,2
141,Garrett Temple,10
142,Gary Harris,11
143,Gary Payton II,14
144,George Hill,10
145,Georgios Papagiannis,7
146,Gerald Green,12
147,Gian Clavell,5
148,Giannis Antetokounmpo,9
149,Glenn Robinson III,8
150,Goran Dragic,11
151,Gorgui Dieng,14
152,Greg Monroe,0
153,Harrison Barnes,11
154,Harry Giles III,2
155,Hassan Whiteside,1
156,Henry Ellenson,8
157,Ian Clark,10
158,Ian Mahinmi,0
159,Iman Shumpert,13
160,Isaiah Canaan,2
161,Isaiah Hicks,7
162,Isaiah Taylor,7
163,Isaiah Thomas,11
164,Isaiah Whitehead,7
165,Ish Smith,3
166,Ivan Rabb,7
167,Ivica Zubac,0
168,J.J. Barea,4
169,JJ Redick,12
170,JR Smith,5
171,JaKarr Sampson,0
172,JaMychal Green,2
173,JaVale McGee,0
174,Jabari Bird,7
175,Jabari Parker,3
176,Jack Cooley,0
177,Jae Crowder,10
178,Jahlil Okafor,0
179,Jakob Poeltl,0
180,Jalen Jones,14
181,Jamal Crawford,12
182,Jamal Murray,11
183,Jameel Warney,0
184,Jameer Nelson,13
185,Jamel Artis,2
186,James Ennis III,14
187,James Harden,6
188,James Johnson,2
189,Jamil Wilson,5
190,Jared Dudley,13
191,Jarell Martin,2
192,Jarrett Allen,0
193,Jarrett Jack,2
194,Jason Smith,8
195,Jason Terry,5
196,Jawun Evans,2
197,Jaylen Brown,3
198,Jaylen Morris,14
199,Jayson Tatum,3
200,Jeff Green,2
201,Jeff Teague,3
202,Jerami Grant,7
203,Jeremy Lamb,4
204,Jeremy Lin,3
205,Jerian Grant,10
206,Jerryd Bayless,10
207,Jimmy Butler,11
208,Jodie Meeks,13
209,Joe Harris,10
210,Joe Ingles,12
211,Joe Johnson,10
212,Joe Young,8
213,Joel Embiid,9
214,Joffrey Lauvergne,0
215,John Collins,0
216,John Henson,0
217,John Holland,13
218,John Wall,11
219,Johnathan Motley,7
220,Johnny O'Bryant III,14
221,Jon Leuer,7
222,Jonas Jerebko,8
223,Jonas Valanciunas,1
224,Jonathan Gibson,10
225,Jonathan Isaac,2
226,Jonathon Simmons,3
227,Jordan Bell,0
228,Jordan Clarkson,11
229,Jordan Crawford,13
230,Jordan Mickey,7
231,Jose Calderon,13
232,Josh Gray,2
233,Josh Hart,10
234,Josh Jackson,3
235,Josh Magette,5
236,Josh Richardson,4
237,Jrue Holiday,11
238,Juancho Hernangomez,8
239,Julius Randle,1
240,Justin Anderson,2
241,Justin Holiday,12
242,Justin Jackson,10
243,Justin James,11
244,Justise Winslow,2
245,Jusuf Nurkic,1
246,Karl-Anthony Towns,3
247,Kawhi Leonard,11
248,Kay Felder,8
249,Kelly Olynyk,4
250,Kelly Oubre Jr.,4
251,Kemba Walker,6
252,Kenneth Faried,0
253,Kent Bazemore,4
254,Kentavious Caldwell-Pope,12
255,Kevin Durant,6
256,Kevin Love,11
257,Kevon Looney,0
258,Khem Birch,0
259,Khris Middleton,11
260,Klay Thompson,6
261,Kobi Simmons,14
262,Kosta Koufos,0
263,Kris Dunn,3
264,Kristaps Porzingis,6
265,Kyle Anderson,7
266,Kyle Collinsworth,7
267,Kyle Korver,5
268,Kyle Kuzma,11
269,Kyle Lowry,12
270,Kyle O'Quinn,7
271,Kyrie Irving,6
272,LaMarcus Aldridge,9
273,Lance Stephenson,4
274,Lance Thomas,8
275,Langston Galloway,5
276,Larry Nance Jr.,0
277,Lauri Markkanen,11
278,LeBron James,9
279,Lonzo Ball,4
280,Lorenzo Brown,8
281,Lou Williams,6
282,Luc Mbah a Moute,2
283,Luke Babbitt,5
284,Luke Kennard,10
285,Luke Kornet,13
286,Malachi Richardson,8
287,Malcolm Brogdon,3
288,Malcolm Delaney,13
289,Malik Beasley,8
290,Malik Monk,5
291,Mangok Mathiang,0
292,Manu Ginobili,2
293,MarShon Brooks,11
294,Marc Gasol,11
295,Marcin Gortat,0
296,Marco Belinelli,12
297,Marcus Morris Sr.,4
298,Marcus Smart,4
299,Mario Chalmers,10
300,Mario Hezonja,4
301,Markel Brown,5
302,Markelle Fultz,0
303,Markieff Morris,4
304,Marquese Chriss,2
305,Marquis Teague,13
306,Marreese Speights,5
307,Marvin Williams,10
308,Mason Plumlee,0
309,Matthew Dellavedova,13
310,Maurice Harkless,14
311,Maxi Kleber,14
312,Meyers Leonard,8
313,Michael Beasley,1
314,Michael Carter-Williams,14
315,Michael Kidd-Gilchrist,1
316,Mike Conley,11
317,Mike James,4
318,Mike Muscala,10
319,Mike Scott,2
320,Miles Plumlee,0
321,Milos Teodosic,5
322,Milton Doyle,8
323,Mirza Teletovic,5
324,Monte Morris,7
325,Montrezl Harrell,0
326,Myke Henry,10
327,Myles Turner,4
328,Nemanja Bjelica,2
329,Nene,0
330,Nerlens Noel,0
331,Nick Young,5
332,Nicolas Batum,12
333,Nigel Hayes,13
334,Nik Stauskas,13
335,Nikola Jokic,3
336,Nikola Mirotic,4
337,Nikola Vucevic,11
338,Noah Vonleh,14
339,Norman Powell,2
340,OG Anunoby,8
341,Okaro White,13
342,Omari Johnson,13
343,Omri Casspi,0
344,Otto Porter Jr.,4
345,P.J. Tucker,13
346,Pascal Siakam,7
347,Pat Connaughton,8
348,Patrick Beverley,4
349,Patrick McCaw,14
350,Patrick Patterson,13
351,Patty Mills,12
352,Pau Gasol,2
353,Paul George,6
354,Paul Millsap,3
355,Paul Zipser,8
356,Quincy Acy,5
357,Quinn Cook,10
358,RJ Hunter,5
359,Rajon Rondo,2
360,Ramon Sessions,7
361,Rashad Vaughn,13
362,Raul Neto,14
363,Raymond Felton,10
364,Reggie Bullock,10
365,Reggie Jackson,11
366,Richaun Holmes,7
367,Ricky Rubio,4
368,Robert Covington,12
369,Robin Lopez,1
370,Rodney Hood,4
371,Rodney McGruder,8
372,Rodney Purvis,5
373,Rondae Hollis-Jefferson,1
374,Royce O'Neale,14
375,Rudy Gay,3
376,Rudy Gobert,0
377,Russell Westbrook,9
378,Ryan Anderson,5
379,Sam Dekker,7
380,Sean Kilpatrick,10
381,Semi Ojeleye,13
382,Serge Ibaka,4
383,Shabazz Muhammad,7
384,Shabazz Napier,10
385,Shane Larkin,8
386,Shaquille Harrison,0
387,Shaun Livingston,7
388,Shelvin Mack,2
389,Sindarius Thornwell,14
390,Skal Labissiere,2
391,Solomon Hill,8
392,Spencer Dinwiddie,4
393,Stanley Johnson,4
394,Stephen Curry,6
395,Sterling Brown,8
396,Steven Adams,0
397,T.J. McConnell,14
398,T.J. Warren,9
399,TJ Leaf,14
400,Taj Gibson,1
401,Tarik Black,0
402,Taurean Prince,4
403,Terrance Ferguson,13
404,Terrence Ross,10
405,Terry Rozier,4
406,Thabo Sefolosha,2
407,Thaddeus Young,1
408,Theo Pinson,1
409,Thon Maker,14
410,Tim Frazier,8
411,Tim Hardaway Jr.,6
412,Timofey Mozgov,7
413,Timothe Luwawu-Cabarrot,10
414,Tobias Harris,11
415,Tomas Satoransky,14
416,Tony Allen,0
417,Tony Parker,2
418,Tony Snell,13
419,Torrey Craig,14
420,Travis Wear,5
421,Treveon Graham,8
422,Trevor Ariza,12
423,Trevor Booker,7
424,Trey Burke,4
425,Trey Lyles,2
426,Tristan Thompson,0
427,Troy Daniels,5
428,Troy Williams,14
429,Tyler Cavanaugh,8
430,Tyler Dorsey,10
431,Tyler Ennis,14
432,Tyler Johnson,4
433,Tyler Ulis,4
434,Tyler Zeller,0
435,Tyreke Evans,11
436,Tyrone Wallace,1
437,Tyson Chandler,0
438,Tyus Jones,8
439,Victor Oladipo,6
440,Vince Carter,13
441,Wade Baldwin IV,14
442,Walt Lemon Jr.,0
443,Wayne Ellington,5
444,Wayne Selden,10
445,Wenyen Gabriel,7
446,Wes Iwundu,14
447,Wesley Johnson,13
448,Wesley Matthews,12
449,Will Barton,11
450,Willie Cauley-Stein,1
451,Willie Reed,0
452,Willy Hernangomez,0
453,Wilson Chandler,2
454,Xavier Rathan-Mayes,10
455,Xavier Silas,5
456,Yogi Ferrell,12
457,Zach Collins,14
458,Zach LaVine,11
459,Zach Randolph,3
460,Zaza Pachulia,0
