,name,cluster
0,Aaron Brooks,13
1,Aaron Gordon,11
2,Aaron Harrison,5
3,Aaron Jackson,4
4,Abdel Nader,8
5,Adreian Payne,8
6,Al Horford,3
7,Al Jefferson,7
8,Al-Farouq Aminu,10
9,Alan Williams,0
10,Alec Burks,2
11,Alec Peters,5
12,Alex Abrines,5
13,Alex Caruso,8
14,Alex Len,0
15,Allen Crabbe,12
16,Amir Johnson,0
17,Andre Drummond,1
18,Andre Iguodala,2
19,Andre Ingram,12
20,Andre Roberson,0
21,Andrew Harrison,2
22,Andrew White III,13
23,Andrew Wiggins,11
24,Anthony Davis,9
25,Anthony Tolliver,5
26,Antonio Blakeney,10
27,Aron Baynes,7
28,Arron Afflalo,13
29,Austin Rivers,11
30,Avery Bradley,11
31,Bam Adebayo,0
32,Ben McLemore,2
33,Ben Simmons,1
34,Bismack Biyombo,0
35,Blake Griffin,9
36,Boban Marjanovic,0
37,Bobby Brown,5
38,Bobby Portis,3
39,Bogdan Bogdanovic,4
40,Bojan Bogdanovic,4
41,Bradley Beal,6
42,Brandan Wright,0
43,Brandon Ingram,3
44,Brandon Jennings,13
45,Brandon Paul,8
46,Briante Weber,14
47,Brice Johnson,7
48,Brook Lopez,4
49,Bruno Caboclo,8
50,Bryn Forbes,10
51,Buddy Hield,4
52,C.J. Williams,2
53,CJ McCollum,6
54,CJ Miles,5
55,Caleb Swanigan,7
56,Cameron Payne,4
57,Caris LeVert,3
58,Carmelo Anthony,6
59,Cedi Osman,8
60,Chandler Parsons,10
61,Channing Frye,13
62,Cheick Diallo,0
63,Chinanu Onuaku,7
64,Chris Paul,6
65,Clint Capela,0
66,Cody Zeller,0
67,Corey Brewer,14
68,Cory Joseph,10
69,Courtney Lee,4
70,Cristiano Felicio,0
71,D'Angelo Russell,11
72,D.J. Augustin,10
73,Damian Jones,0
74,Damian Lillard,6
75,Damion Lee,4
76,Damyean Dotson,8
77,Daniel Theis,14
78,Danilo Gallinari,4
79,Danny Green,10
80,Dante Cunningham,14
81,Dante Exum,7
82,Danuel House Jr.,2
83,Dario Saric,4
84,Darius Miller,5
85,Darren Collison,4
86,David Nwaba,0
87,David West,7
88,Davis Bertans,13
89,Davon Reed,13
90,De'Aaron Fox,3
91,DeAndre Jordan,0
92,DeAndre' Bembry,7
93,DeMar DeRozan,9
94,DeMarcus Cousins,9
95,DeMarre Carroll,4
96,Dejounte Murray,1
97,Delon Wright,14
98,Dennis Schroder,9
99,Dennis Smith Jr.,11
100,Denzel Valentine,12
101,Derrick Favors,1
102,Derrick Jones Jr.,14
